trial_no,module,scenario,expected_label,predicted_label,event_id,alert_id,event_timestamp,alert_timestamp,event_code,alert_type,source_node,location,event_severity,alert_severity,event_title,alert_title,snapshot_path,acknowledged,review_status,correct,remarks
11,fire,Smoke returned to normal,NORMAL,NORMAL,7542,,2026-05-02T10:48:39+00:00,,SMOKE_NORMAL,,smoke_node1,Living Room,normal,,Smoke level is back to normal,,,,,YES,Snapshot evidence missing
12,fire,Smoke returned to normal,NORMAL,NORMAL,7523,,2026-05-02T10:35:23+00:00,,SMOKE_NORMAL,,smoke_node1,Living Room,normal,,Smoke level is back to normal,,,,,YES,Snapshot evidence missing
13,fire,Smoke returned to normal,NORMAL,NORMAL,7485,,2026-05-02T09:00:08+00:00,,SMOKE_NORMAL,,smoke_node2,Door Entrance Area,normal,,Smoke level is back to normal,,,,,YES,Snapshot evidence missing
14,fire,Smoke returned to normal,NORMAL,NORMAL,7483,,2026-05-02T08:57:53+00:00,,SMOKE_NORMAL,,smoke_node2,Door Entrance Area,normal,,Smoke level is back to normal,,,,,YES,Snapshot evidence missing
15,fire,Smoke returned to normal,SMOKE,NORMAL,7481,,2026-05-02T08:41:11+00:00,,SMOKE_NORMAL,,smoke_node1,Living Room,normal,,Smoke level is back to normal,,,,,NO,Snapshot evidence missing
16,intruder,Door-force trigger with authorized face,AUTHORIZED,AUTHORIZED,7695,5306,2026-05-03T06:43:09+00:00,2026-05-03T06:43:09+00:00,DOOR_FORCE,AUTHORIZED_ENTRY,door_force,Door Entrance Area,warning,info,Strong door impact detected,Forced door opening attempt,/snapshots/2026-05-03/intruder_authorized_cam_door_144309.jpg,True,needs_review,YES,Correct forced-door intruder alert created
17,intruder,Forced door opening attempt,INTRUDER,INTRUDER,7690,5301,2026-05-03T06:41:36+00:00,2026-05-03T06:41:36+00:00,DOOR_FORCE,INTRUDER,door_force,Door Entrance Area,warning,critical,Strong door impact detected,Forced door opening attempt,/snapshots/2026-05-03/intruder_unknown_cam_door_144136.jpg,False,needs_review,YES,Correct forced-door intruder alert created
18,intruder,Forced door opening attempt,INTRUDER,INTRUDER,7686,5297,2026-05-03T06:39:00+00:00,2026-05-03T06:39:00+00:00,DOOR_FORCE,INTRUDER,door_force,Door Entrance Area,warning,critical,Strong door impact detected,Forced door opening attempt,/snapshots/2026-05-03/intruder_unknown_cam_door_143900.jpg,True,resolved,YES,Correct forced-door intruder alert created
19,intruder,Door-force trigger with authorized face,AUTHORIZED,AUTHORIZED,7678,5290,2026-05-03T06:36:21+00:00,2026-05-03T06:36:21+00:00,DOOR_FORCE,AUTHORIZED_ENTRY,door_force,Door Entrance Area,warning,info,Strong door impact detected,Recognized entry,/snapshots/2026-05-03/intruder_authorized_cam_door_143621.jpg,True,needs_review,YES,Correct forced-door intruder alert created
20,intruder,Forced door opening attempt,NO_FACE,INTRUDER,7673,5285,2026-05-03T06:33:59+00:00,2026-05-03T06:33:59+00:00,DOOR_FORCE,INTRUDER,door_force,Door Entrance Area,warning,critical,Strong door impact detected,Entry activity needs review,/snapshots/2026-05-03/intruder_unknown_cam_door_143359.jpg,True,resolved,NO,Snapshot evidence unclear
21,intruder,Forced door opening attempt,INTRUDER,INTRUDER,7538,5150,2026-05-02T10:47:52+00:00,2026-05-02T10:47:52+00:00,DOOR_FORCE,INTRUDER,door_force,Door Entrance Area,warning,critical,Strong door impact detected,Unknown person detected at the entry,/snapshots/2026-05-02/intruder_unknown_cam_door_184752.jpg,True,resolved,YES,Correct forced-door intruder alert created
22,intruder,Forced door opening attempt,NO_FACE,INTRUDER,7496,5109,2026-05-02T10:23:03+00:00,2026-05-02T10:23:03+00:00,DOOR_FORCE,INTRUDER,door_force,Door Entrance Area,warning,critical,Strong door impact detected,Entry activity needs review,/snapshots/2026-05-02/intruder_unknown_cam_door_182303.jpg,True,resolved,NO,Snapshot evidence unclear
23,intruder,Forced door opening attempt,INTRUDER,INTRUDER,7495,5108,2026-05-02T10:20:31+00:00,2026-05-02T10:20:31+00:00,DOOR_FORCE,INTRUDER,door_force,Door Entrance Area,warning,critical,Strong door impact detected,Entry activity needs review,/snapshots/2026-05-02/intruder_unknown_cam_door_182031.jpg,True,resolved,YES,Snapshot evidence unclear
24,intruder,Forced door opening attempt,INTRUDER,INTRUDER,7494,5107,2026-05-02T10:18:17+00:00,2026-05-02T10:18:17+00:00,DOOR_FORCE,INTRUDER,door_force,Door Entrance Area,warning,critical,Strong door impact detected,Entry activity needs review,/snapshots/2026-05-02/intruder_unknown_cam_door_181817.jpg,True,resolved,YES,Correct forced-door intruder alert created
25,intruder,Forced door opening attempt,INTRUDER,INTRUDER,7491,5104,2026-05-02T09:37:45+00:00,2026-05-02T09:37:45+00:00,DOOR_FORCE,INTRUDER,door_force,Door Entrance Area,warning,critical,Strong door impact detected,Entry activity needs review,/snapshots/2026-05-02/intruder_unknown_cam_door_173745.jpg,True,resolved,YES,Correct forced-door intruder alert created
26,face,Unknown / non-authorized person,NON_AUTHORIZED,NON_AUTHORIZED,7740,5350,2026-05-03T07:13:19+00:00,2026-05-03T07:13:19+00:00,UNKNOWN,INTRUDER,cam_indoor,Living Room,critical,critical,Unknown person detected,Unknown person detected at the entry,/snapshots/2026-05-03/intruder_unknown_presence_cam_indoor_151319.jpg,False,needs_review,YES,Correct non-authorized classification
27,face,Unknown / non-authorized person,NON_AUTHORIZED,NON_AUTHORIZED,7715,5325,2026-05-03T06:55:02+00:00,2026-05-03T06:55:02+00:00,UNKNOWN,INTRUDER,cam_indoor,Living Room,critical,critical,Unknown person detected,Unknown person detected at the entry,/snapshots/2026-05-03/intruder_unknown_presence_cam_indoor_145502.jpg,False,needs_review,YES,Correct non-authorized classification
28,face,Unknown / non-authorized person,AUTHORIZED,NON_AUTHORIZED,7714,5324,2026-05-03T06:54:29+00:00,2026-05-03T06:54:29+00:00,UNKNOWN,INTRUDER,cam_indoor,Living Room,critical,critical,Unknown person detected,Unknown person detected at the entry,/snapshots/2026-05-03/intruder_unknown_presence_cam_indoor_145429.jpg,False,needs_review,NO,False negative missed alert
29,face,Unknown / non-authorized person,NON_AUTHORIZED,NON_AUTHORIZED,7712,5322,2026-05-03T06:53:25+00:00,2026-05-03T06:53:25+00:00,UNKNOWN,INTRUDER,cam_indoor,Living Room,critical,critical,Unknown person detected,Unknown person detected at the entry,/snapshots/2026-05-03/intruder_unknown_presence_cam_indoor_145325.jpg,False,needs_review,NO,Excluded from computation
30,face,Unknown / non-authorized person,NON_AUTHORIZED,NON_AUTHORIZED,7710,5320,2026-05-03T06:51:00+00:00,2026-05-03T06:51:00+00:00,UNKNOWN,INTRUDER,cam_indoor,Living Room,critical,critical,Unknown person detected,Unknown person detected at the entry,/snapshots/2026-05-03/intruder_unknown_presence_cam_indoor_145100.jpg,False,needs_review,YES,Correct non-authorized classification
31,face,Unknown / non-authorized person,NON_AUTHORIZED,NON_AUTHORIZED,7708,5318,2026-05-03T06:50:28+00:00,2026-05-03T06:50:28+00:00,UNKNOWN,INTRUDER,cam_indoor,Living Room,critical,critical,Unknown person detected,Unknown person detected at the entry,/snapshots/2026-05-03/intruder_unknown_presence_cam_indoor_145028.jpg,False,needs_review,YES,Correct non-authorized classification
32,face,Unknown / non-authorized person,NON_AUTHORIZED,NON_AUTHORIZED,7707,5317,2026-05-03T06:48:19+00:00,2026-05-03T06:48:19+00:00,UNKNOWN,INTRUDER,cam_indoor,Living Room,critical,critical,Unknown person detected,Unknown person detected at the entry,/snapshots/2026-05-03/intruder_unknown_presence_cam_indoor_144819.jpg,False,needs_review,YES,Correct non-authorized classification
33,face,Unknown / non-authorized person,NON_AUTHORIZED,NON_AUTHORIZED,7705,5315,2026-05-03T06:47:30+00:00,2026-05-03T06:47:31+00:00,UNKNOWN,INTRUDER,cam_indoor,Living Room,critical,critical,Unknown person detected,Unknown person detected at the entry,/snapshots/2026-05-03/intruder_unknown_presence_cam_indoor_144730.jpg,False,needs_review,YES,Correct non-authorized classification
